Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
1,tseries,Música y baile,249500000.0,India,86200.0,2700.0,78.0,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA
2,MrBeast,"Videojuegos, Humor",183500000.0,Estados Unidos,117400000.0,5300000.0,18500.0,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
3,CoComelon,Educación,165500000.0,Unknown,7000000.0,24700.0,0.0,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ
4,SETIndia,,162600000.0,India,15600.0,166.0,9.0,http://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q
5,KidsDianaShow,"Animación, Juguetes",113500000.0,Unknown,3900000.0,12400.0,0.0,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw
6,PewDiePie,"Películas, Videojuegos",111500000.0,Estados Unidos,2400000.0,197300.0,4900.0,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
7,LikeNastyaofficial,Juguetes,107500000.0,Unknown,2600000.0,28000.0,0.0,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
8,VladandNiki,"Animación, Juguetes",101400000.0,Unknown,4099999.9999999995,22100.0,0.0,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow
9,zeemusiccompany,Música y baile,99700000.0,India,74300.0,2600.0,32.0,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg
10,WWE,Videojuegos,97200000.0,Estados Unidos,184500.0,6300.0,214.0,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
11,BLACKPINK,Música y baile,91300000.0,Estados Unidos,863200.0,146900.0,3400.0,http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
12,GoldminesTelefilms,,89700000.0,India,34600.0,421.0,13.0,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA
13,SonySAB,"Películas, Animación",85400000.0,India,35500.0,615.0,21.0,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw
14,5MinuteCraftsYouTube,Películas,80300000.0,India,164600.0,703.0,35.0,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
15,BTS,Música y baile,76500000.0,India,969700.0,180300.0,7400.0,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
16,HYBELABELS,Música y baile,72700000.0,Estados Unidos,440700.0,23900.0,932.0,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
17,zeetv,,72500000.0,India,7300.0,144.0,1.0,http://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ
18,Pinkfong,"Animación, Juguetes",69600000.0,Unknown,506400.0,397.0,0.0,http://youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
19,ChuChuTV,Juguetes,67500000.0,Unknown,652100.0,17800.0,0.0,http://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg
20,KondZilla,Música y baile,66599999.99999999,Brasil,30400.0,1100.0,4.0,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw
21,colorstv,,66599999.99999999,India,14700.0,413.0,3.0,http://youtube.com/channel/UC55IWqFLDH1Xp7iu1_xknRA
22,filmigaane,Música y baile,66400000.00000001,India,33000.0,392.0,18.0,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg
23,TSeriesBhaktiSagar,Música y baile,62600000.0,India,24900.0,983.0,35.0,http://youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g
24,tipsofficial,Música y baile,60900000.0,India,80200.0,935.0,22.0,http://youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w
25,MOVIECLIPS,"Películas, Animación",59900000.0,Estados Unidos,16600.0,231.0,9.0,http://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg
26,ElReinoInfantil,Música y baile,59700000.0,Unknown,393000.0,2600.0,0.0,http://youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA
27,dudeperfect,Videojuegos,59700000.0,Estados Unidos,5300000.0,156500.0,4200.0,http://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ
28,aajtak,Noticias y Política,58900000.0,India,7600.0,229.0,4.0,http://youtube.com/channel/UCt4t-jeY85JegMlZ-E5UWtA
29,WaveMusicIndia,Música y baile,58700000.0,Unknown,36600.0,792.0,54.0,http://youtube.com/channel/UC22nIfOTM7KLIQuFGMKzQbg
30,SonyMusicIndia,Música y baile,57900000.0,India,26300.0,964.0,21.0,http://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg
31,marshmello,Música y baile,56700000.0,Estados Unidos,145900.0,8900.0,167.0,http://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ
32,yrf,Música y baile,55700000.0,India,60300.0,2100.0,33.0,http://youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA
33,infobellshindirhymes,Educación,55700000.0,Unknown,1200000.0,34700.0,0.0,http://youtube.com/channel/UC1ciY6kR3yj3kaKZ6R7ewAg
34,LooLooKids,Música y baile,54800000.0,Estados Unidos,595600.0,2700.0,0.0,http://youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w
35,TaylorSwift,Música y baile,54100000.0,Estados Unidos,4300000.0,300400.0,15000.0,http://youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g
36,EdSheeran,Música y baile,53700000.0,Estados Unidos,144200.0,10200.0,345.0,http://youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A
37,BillionSurpriseToys,Juguetes,53100000.0,Unknown,1600000.0,0.0,0.0,http://youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q
38,ArianaGrande,Música y baile,52900000.0,Estados Unidos,1100000.0,85800.0,3800.0,http://youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g
39,shemaroo,,48800000.0,India,22600.0,163.0,7.0,http://youtube.com/channel/UCF1JIbMUs6uqoZEY1Haw0GQ
40,JuegaGerman,"Películas, Animación",48600000.0,México,2000000.0,117100.0,3000.0,http://youtube.com/channel/UCYiGq8XF7YQD00x7wAd62Zg
41,BillieEilish,Música y baile,48600000.0,Estados Unidos,208100.0,27200.0,476.0,http://youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ
42,getmovies,,48100000.0,Unknown,55700.0,329.0,0.0,http://youtube.com/channel/UClZkHt2kNIgyrTTPnSQV3SA
43,sonymusicindiaVEVO,Música y baile,47500000.0,India,36600.0,664.0,28.0,http://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ
44,A4a4a4a4,"Animación, Humor",47300000.0,Rusia,9700000.0,330400.0,22000.0,http://youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA
45,badabunOficial,,47000000.0,México,6800.0,260.0,4.0,http://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ
46,HarPalGeoOfficial,"Películas, Animación",46400000.0,Pakistán,11000.0,299.0,2.0,http://youtube.com/channel/UCe9JSDmyqNgA_l2BzGHq1Ug
47,vootkids,,46000000.0,Unknown,540900.0,3400.0,0.0,http://youtube.com/channel/UCJg19noZp7-BYIGvypu_cow
48,ARYDigitalasia,,45900000.0,Pakistán,20000.0,242.0,13.0,http://youtube.com/channel/UC4JCksJF76g_MdzPVBJoC3Q
49,felipeneto,,45600000.0,Brasil,850600.0,82100.0,1100.0,http://youtube.com/channel/UCV306eHqgo0LvBf3Mh36AHg
